@RELATION Ice99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
5.0,1.0,2.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0
45.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
27.0,1.0,4.0,0.0,7.0,3.0,2.0,0.0,3.0,0.0,1.0
205.0,1.0,5.0,0.0,92.0,26.0,3.0,73.0,19.0,3.0,1.0
9.0,1.0,4.0,0.0,46.0,1.0,7.0,0.0,1.0,0.0,0.0
531.0,2.0,11.0,2.0,37.0,37.0,1.0,87.0,24.0,10.0,1.0
113.0,1.0,4.0,0.0,47.0,10.0,2.0,67.0,10.0,4.0,1.0
113.0,1.0,4.0,0.0,47.0,10.0,2.0,67.0,10.0,4.0,1.0
16.0,1.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
35.0,1.0,1.0,0.0,70.0,4.0,3.0,62.0,4.0,2.0,1.0
3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
566.0,1.0,14.0,2.0,66.0,48.0,2.0,91.0,40.0,19.0,1.0
5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
75.0,1.0,3.0,0.0,39.0,1.0,2.0,0.0,1.0,0.0,1.0
3.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7.0,1.0,1.0,0.0,46.0,1.0,7.0,0.0,1.0,0.0,0.0
239.0,1.0,11.0,0.0,37.0,11.0,6.0,68.0,11.0,7.0,0.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
26.0,1.0,4.0,0.0,7.0,3.0,2.0,33.0,3.0,1.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
22.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,3.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
